,season,postseason,team
1,2024-2025,Did not make playoffs,Anaheim Ducks
2,2023-2024,Did not make playoffs,Anaheim Ducks
3,2022-2023,Did not make playoffs,Anaheim Ducks
4,2021-2022,Did not make playoffs,Anaheim Ducks
5,2020-2021,Did not make playoffs,Anaheim Ducks
6,2019-2020,Did not make playoffs,Anaheim Ducks
7,2018-2019,Did not make playoffs,Anaheim Ducks
8,2017-2018,Conference QF loss,Anaheim Ducks
9,2016-2017,Conference Final loss,Anaheim Ducks
10,2015-2016,Conference QF loss,Anaheim Ducks
11,2014-2015,Conference Final loss,Anaheim Ducks
12,2013-2014,Conference SF loss,Anaheim Ducks
13,2012-2013,Conference QF loss,Anaheim Ducks
14,2011-2012,Did not make playoffs,Anaheim Ducks
15,2010-2011,Conference QF loss,Anaheim Ducks
16,2009-2010,Did not make playoffs,Anaheim Ducks
17,2008-2009,Conference SF loss,Anaheim Ducks
18,2007-2008,Conference QF loss,Anaheim Ducks
19,2006-2007,Champion,Anaheim Ducks
20,2005-2006,Conference Final loss,Mighty Ducks of Anaheim
21,2003-2004,Did not make playoffs,Mighty Ducks of Anaheim
22,2002-2003,Final loss,Mighty Ducks of Anaheim
23,2001-2002,Did not make playoffs,Mighty Ducks of Anaheim
24,2000-2001,Did not make playoffs,Mighty Ducks of Anaheim
25,1999-2000,Did not make playoffs,Mighty Ducks of Anaheim
26,1998-1999,Conference QF loss,Mighty Ducks of Anaheim
27,1997-1998,Did not make playoffs,Mighty Ducks of Anaheim
28,1996-1997,Conference SF loss,Mighty Ducks of Anaheim
29,1995-1996,Did not make playoffs,Mighty Ducks of Anaheim
30,2023-2024,Did not make playoffs,Arizona Coyotes
31,2022-2023,Did not make playoffs,Arizona Coyotes
32,2021-2022,Did not make playoffs,Arizona Coyotes
33,2020-2021,Did not make playoffs,Arizona Coyotes
34,2019-2020,Conference QF loss,Arizona Coyotes
35,2018-2019,Did not make playoffs,Arizona Coyotes
36,2017-2018,Did not make playoffs,Arizona Coyotes
37,2016-2017,Did not make playoffs,Arizona Coyotes
38,2015-2016,Did not make playoffs,Arizona Coyotes
39,2014-2015,Did not make playoffs,Arizona Coyotes
40,2013-2014,Did not make playoffs,Phoenix Coyotes
41,2012-2013,Did not make playoffs,Phoenix Coyotes
42,2011-2012,Conference Final loss,Phoenix Coyotes
43,2010-2011,Conference QF loss,Phoenix Coyotes
44,2009-2010,Conference QF loss,Phoenix Coyotes
45,2008-2009,Did not make playoffs,Phoenix Coyotes
46,2007-2008,Did not make playoffs,Phoenix Coyotes
47,2006-2007,Did not make playoffs,Phoenix Coyotes
48,2005-2006,Did not make playoffs,Phoenix Coyotes
49,2003-2004,Did not make playoffs,Phoenix Coyotes
50,2002-2003,Did not make playoffs,Phoenix Coyotes
51,2001-2002,Conference QF loss,Phoenix Coyotes
52,2000-2001,Did not make playoffs,Phoenix Coyotes
53,1999-2000,Conference QF loss,Phoenix Coyotes
54,1998-1999,Conference QF loss,Phoenix Coyotes
55,1997-1998,Conference QF loss,Phoenix Coyotes
56,1996-1997,Conference QF loss,Phoenix Coyotes
58,2024-2025,Did not make playoffs,Boston Bruins
59,2023-2024,Conference SF loss,Boston Bruins
60,2022-2023,Conference QF loss,Boston Bruins
61,2021-2022,Conference QF loss,Boston Bruins
62,2020-2021,Conference SF loss,Boston Bruins
63,2019-2020,Conference SF loss,Boston Bruins
64,2018-2019,Final loss,Boston Bruins
65,2017-2018,Conference SF loss,Boston Bruins
66,2016-2017,Conference QF loss,Boston Bruins
67,2015-2016,Did not make playoffs,Boston Bruins
68,2014-2015,Did not make playoffs,Boston Bruins
69,2013-2014,Conference SF loss,Boston Bruins
70,2012-2013,Final loss,Boston Bruins
71,2011-2012,Conference QF loss,Boston Bruins
72,2010-2011,Champion,Boston Bruins
73,2009-2010,Conference SF loss,Boston Bruins
74,2008-2009,Conference SF loss,Boston Bruins
75,2007-2008,Conference QF loss,Boston Bruins
76,2006-2007,Did not make playoffs,Boston Bruins
77,2005-2006,Did not make playoffs,Boston Bruins
78,2003-2004,Conference QF loss,Boston Bruins
79,2002-2003,Conference QF loss,Boston Bruins
80,2001-2002,Conference QF loss,Boston Bruins
81,2000-2001,Did not make playoffs,Boston Bruins
82,1999-2000,Did not make playoffs,Boston Bruins
83,1998-1999,Conference SF loss,Boston Bruins
84,1997-1998,Conference QF loss,Boston Bruins
85,1996-1997,Did not make playoffs,Boston Bruins
86,1995-1996,Conference QF loss,Boston Bruins
88,2024-2025,Did not make playoffs,Buffalo Sabres
89,2023-2024,Did not make playoffs,Buffalo Sabres
90,2022-2023,Did not make playoffs,Buffalo Sabres
91,2021-2022,Did not make playoffs,Buffalo Sabres
92,2020-2021,Did not make playoffs,Buffalo Sabres
93,2019-2020,Did not make playoffs,Buffalo Sabres
94,2018-2019,Did not make playoffs,Buffalo Sabres
95,2017-2018,Did not make playoffs,Buffalo Sabres
96,2016-2017,Did not make playoffs,Buffalo Sabres
97,2015-2016,Did not make playoffs,Buffalo Sabres
98,2014-2015,Did not make playoffs,Buffalo Sabres
99,2013-2014,Did not make playoffs,Buffalo Sabres
100,2012-2013,Did not make playoffs,Buffalo Sabres
101,2011-2012,Did not make playoffs,Buffalo Sabres
102,2010-2011,Conference QF loss,Buffalo Sabres
103,2009-2010,Conference QF loss,Buffalo Sabres
104,2008-2009,Did not make playoffs,Buffalo Sabres
105,2007-2008,Did not make playoffs,Buffalo Sabres
106,2006-2007,Conference Final loss,Buffalo Sabres
107,2005-2006,Conference Final loss,Buffalo Sabres
