1942-1943,October 31 1942,April 8 1943
1943-1944,October 30 1943,April 13 1944
1944-1945,October 28 1944,April 22 1945
1945-1946,October 24 1945,April 9 1946
1946-1947,October 16 1946,April 19 1947
1947-1948,October 15 1947,April 14 1948
1948-1949,October 13 1948,April 16 1949
1949-1950,October 12 1949,April 23 1950
1950-1951,October 11 1950,April 21 1951
1951-1952,October 11 1951,April 15 1952
1952-1953,October 9 1952,April 16 1953
1953-1954,October 8 1953,April 16 1954
1954-1955,October 7 1954,April 14 1955
1955-1956,October 6 1955,April 10 1956
1956-1957,October 11 1956,April 16 1957
1957-1958,October 8 1957,April 20 1958
1958-1959,October 8 1958,April 18 1959
1959-1960,October 7 1959,April 14 1960
1960-1961,October 5 1960,April 16 1961
1961-1962,October 11 1961,April 22 1962
1962-1963,October 12 1962,April 18 1963
1963-1964,October 8 1963,April 25 1964
1964-1965,October 12 1964,May 1	1965
1965-1966,October 23 1965,May 5 1966
1966-1967,October 19 1966,May 2 1967
1967-1968,October 11 1967,May 11 1968
1968-1969,October 11 1968,May 4 1969
1969-1970,October 11 1969,May 10 1970
1970-1971,October 9 1970,May 18 1971
1971-1972,October 8 1971,May 11 1972
1972-1973,October 7 1972,May 10 1973
1973-1974,October 10 1973,May 19 1974
1974-1975,October 9 1974,May 27 1975
1975-1976,October 7 1975,May 16 1976
1976-1977,October 5 1976,May 14 1977
1977-1978,October 12 1977,May 25 1978
1978-1979,October 11 1978,May 21 1979
1979-1980,October 9 1979,May 24 1980
1980-1981,October 9 1980,May 21 1981
1981-1982,October 6 1981,May 16 1982
1982-1983,October 5 1982,May 17 1983
1983-1984,October 4 1983,May 19 1984
1984-1985,October 11 1984,May 20 1985
1985-1986,October 10 1985,May 25 1986
1986-1987,October 9 1986,May 31 1987
1987-1988,October 8 1987,May 26 1988
1988-1989,October 6 1988,May 25 1989
1989-1990,October 5 1989,May 24 1990
1990-1991,October 4 1990,May 25 1991
1991-1992,October 3 1991,June 1 1992
1992-1993,October 6 1992,June 9 1993
1993-1994,October 5 1993,June 14 1994
1994-1995,January 20 1995,June 24 1995
1995-1996,October 6 1995,June 10 1996
1996-1997,October 4 1996,June 7 1997
1997-1998,October 1 1997,June 16 1998
1998-1999,October 9 1998,June 19 1999
1999-2000,October 1 1999,June 10 2000
2000-2001,October 4 2000,June 9 2001
2001-2002,October 3 2001,June 13 2002
2002-2003,October 9 2002,June 9 2003
2003-2004,October 8 2003,June 7	2004
2004-2005,October 1 2004,June 15 2005,this is fake bc NHL had a lockout but I need the dates for other leagues' seasons
2005-2006,October 5 2005,June 19 2006
2006-2007,October 4 2006,June 6 2007
2007-2008,September 29 2007,June 4 2008
2008-2009,October 4 2008,June 12 2009
2009-2010,October 1 2009,June 9 2010
2010-2011,October 7 2010,June 15 2011
2011-2012,October 6 2011,June 11 2012
2012-2013,January 19 2013,June 24 2013
2013-2014,October 1 2013,June 13 2014
2014-2015,October 8 2014,June 15 2015
2015-2016,October 7 2015,June 12 2016
2016-2017,October 12 2016,June 11 2017
2017-2018,October 4 2017,June 7 2018
2018-2019,October 3 2018,June 12 2019
2019-2020,October 2 2019,September 28 2020
2020-2021,January 13 2021,July 7 2021
2021-2022,October 12 2021,June 26 2022
2022-2023,October 7 2022,June 13 2023
2023-2024,October 10 2023,June 24 2024,
2024-2025,October 4 2024,June 17 2025,
2025-2026,October 7 2025,June 30 2026,the end date is made up
2026-2027,October 1 2026,June 30 2027,these dates are made up
