,ep_team_name,nhl_team_name,roster_team_x,roster_team_y,date,from_team,to_team,link,player,playerId,playerName
0,SK Lejon,,,,2016-10-09,SK Lejon,Clemensnäs HC,https://www.eliteprospects.com/player/17831/linus-karlsson,Linus Karlsson,8481024,Linus Karlsson
1,Waterloo Wolves U16 AAA,,,,2014-07-09,Waterloo Wolves U16 AAA,Soo Greyhounds,https://www.eliteprospects.com/player/269859/boris-katchouk,Boris Katchouk,8479383,Boris Katchouk
2,Waterloo Wolves U16 AAA,,,,2014-05-09,Waterloo Wolves U16 AAA,Windsor Spitfires,https://www.eliteprospects.com/player/240108/logan-stanley,Logan Stanley,8479378,Logan Stanley
3,Genève-Servette HC,,,,2024-06-27,Genève-Servette HC,Retired,https://www.eliteprospects.com/player/11480/daniel-winnik,Daniel Winnik,8471476,Daniel Winnik
4,Genève-Servette HC,,,,2024-03-14,Genève-Servette HC,Unknown,https://www.eliteprospects.com/player/3197/valtteri-filppula,Valtteri Filppula,8470047,Valtteri Filppula
5,Genève-Servette HC,,,,2023-10-25,Genève-Servette HC,Lausanne HC,https://www.eliteprospects.com/player/60736/henrik-haapala,Henrik Haapala,8480164,Henrik Haapala
6,Genève-Servette HC,,,,2023-10-04,Genève-Servette HC,HC Vítkovice,https://www.eliteprospects.com/player/11949/yohann-auvitu,Yohann Auvitu,8479483,Yohann Auvitu
7,Genève-Servette HC,,,,2023-05-11,Genève-Servette HC,Luleå HF,https://www.eliteprospects.com/player/4008/linus-omark,Linus Omark,8474059,Linus Omark
8,Genève-Servette HC,,,,2021-08-05,Genève-Servette HC,SC Bern,https://www.eliteprospects.com/player/34828/joel-vermin,Joël Vermin,8477326,Joel Vermin
9,Genève-Servette HC,,,,2021-07-05,Genève-Servette HC,Luleå HF,https://www.eliteprospects.com/player/4008/linus-omark,Linus Omark,8474059,Linus Omark
10,Genève-Servette HC,,,,2020-06-11,Genève-Servette HC,Retired,https://www.eliteprospects.com/player/19230/tommy-wingels,Tommy Wingels,8474739,Tommy Wingels
11,Genève-Servette HC,,,,2019-09-23,Genève-Servette HC,Ontario Reign,https://www.eliteprospects.com/player/16499/lance-bouma,Lance Bouma,8474642,Lance Bouma
12,Genève-Servette HC,,,,2019-08-02,Genève-Servette HC,HC Sierre,https://www.eliteprospects.com/player/12299/goran-bezina,Goran Bezina,8468107,Goran Bezina
13,Genève-Servette HC,,,,2019-04-11,Genève-Servette HC,Lausanne HC,https://www.eliteprospects.com/player/11683/cody-almond,Cody Almond,8474042,Cody Almond
14,Genève-Servette HC,,,,2018-06-08,Genève-Servette HC,Mora IK,https://www.eliteprospects.com/player/16456/michael-keranen,Michael Keränen,8477923,Michael Keranen
15,Genève-Servette HC,,,,2018-05-04,Genève-Servette HC,Avtomobilist Yekaterinburg,https://www.eliteprospects.com/player/14394/stephane-da-costa,Stéphane Da Costa,8476205,Stephane Da Costa
16,Genève-Servette HC,,,,2018-01-24,Genève-Servette HC,Columbus Blue Jackets,https://www.eliteprospects.com/player/9216/nathan-gerbe,Nathan Gerbe,8471804,Nathan Gerbe
17,Genève-Servette HC,,,,2017-07-21,Genève-Servette HC,HC Fribourg-Gottéron,https://www.eliteprospects.com/player/8562/jim-slater,Jim Slater,8470289,Jim Slater
18,Genève-Servette HC,,,,2016-10-03,Genève-Servette HC,Retired,https://www.eliteprospects.com/player/11417/mike-santorelli,Mike Santorelli,8471390,Mike Santorelli
