,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
0,SK Lejon,,,
1,Heilbronner Falken,,,Heilbronner Falken
2,Waterloo Wolves U16 AAA,,,
3,Genève-Servette HC,,,
4,HC Kosice,,,HC Kosice
5,Brampton Beast,,,
6,Phoenix Jr. Coyotes 16U AAA,,,Phoenix Jr. Coyotes 16U AAA
7,Port Huron Icehawks,,,
8,Toronto Titans U18 AAA,,,
9,IF Sundsvall Hockey,,,IF Sundsvall Hockey
10,Pittsburgh Penguins,,,Pittsburgh Penguins
11,KooKoo,,,KooKoo
12,Dübendorf U15,,,Dübendorf U15
13,Grizzlys Wolfsburg,,,Grizzlys Wolfsburg
14,Atlanta Gladiators,,,Atlanta Gladiators
15,HK Kurbads,,,HK Kurbads
16,Växjö Lakers HC J20,,,Växjö Lakers HC J20
17,Gangwon High1,,,Gangwon High1
18,Kristianstads IK,,,Kristianstads IK
19,Calgary Flames U18 AAA,,,Calgary Flames U18 AAA
20,Toronto Jr. Canadiens,,,Toronto Jr. Canadiens
21,The Roxbury Latin School,,,The Roxbury Latin School
22,Dynamo Minsk,,,Dynamo Minsk
23,Clemensnäs HC,,,
24,High1,,,High1
25,SDE HF J18,,,SDE HF J18
26,Niagara University,,,
27,Halton Hurricanes U16 AAA,,,
28,San Francisco Bulls,,,
29,Deggendorfer SC,,,Deggendorfer SC
30,Eispiraten Crimmitschau,,,Eispiraten Crimmitschau
31,Sorel-Tracy Carvena HC,,,Sorel-Tracy Carvena HC
32,Guildford Flames,,,Guildford Flames
33,SC Csíkszereda,,,SC Csíkszereda
34,Ottawa Jr. 67s U16 AAA,,,
35,Fassa,,,Fassa
36,Saryarka Karaganda,,,Saryarka Karaganda
37,No team,,,
38,BK Mladá Boleslav,,,
39,Dornbirner EC,,,Dornbirner EC
40,Sarnia Sting,,,
41,Kramfors-Alliansen J18,,,Kramfors-Alliansen J18
42,Rögle BK U16,,,Rögle BK U16
43,MsHK Zilina U18,,,
44,Univ. of Alberta,,,Univ. of Alberta
45,EHC Bayreuth,,,
46,MHK Dynamo Moskva,,,MHK Dynamo Moskva
47,Yale Hockey Academy U15 Prep,,,Yale Hockey Academy U15 Prep
48,Malmö Redhawks,,,Malmö Redhawks
49,Berani Zlin,,,Berani Zlin
50,HK 95 Povazska Bystrica,,,HK 95 Povazska Bystrica
51,Dayton Gems,,,
52,Wings HC Arlanda,,,
53,Zvezda-VDV Dmitrov,,,Zvezda-VDV Dmitrov
