,ep_team_name,nhl_team_name,roster_team_x,roster_team_y,date,from_team,to_team,link,player,playerId,playerName
0,SK Lejon,,,,2013-05-16,Bodens HF,SK Lejon,https://www.eliteprospects.com/player/17831/linus-karlsson,Linus Karlsson,8481024,Linus Karlsson
1,Waterloo Wolves U16 AAA,,,,,,,,,,
2,Genève-Servette HC,,,,2024-05-30,HC Lugano,Genève-Servette HC,https://www.eliteprospects.com/player/19426/markus-granlund,Markus Granlund,8476440,Markus Granlund
3,Genève-Servette HC,,,,2023-10-11,Columbus Blue Jackets,Genève-Servette HC,https://www.eliteprospects.com/player/296565/tim-berni,Tim Berni,8481072,Tim Berni
4,Genève-Servette HC,,,,2023-09-21,Ilves,Genève-Servette HC,https://www.eliteprospects.com/player/60736/henrik-haapala,Henrik Haapala,8480164,Henrik Haapala
5,Genève-Servette HC,,,,2023-01-02,Neftekhimik Nizhnekamsk,Genève-Servette HC,https://www.eliteprospects.com/player/11949/yohann-auvitu,Yohann Auvitu,8479483,Yohann Auvitu
6,Genève-Servette HC,,,,2022-08-10,Salavat Yulaev Ufa,Genève-Servette HC,https://www.eliteprospects.com/player/11365/teemu-hartikainen,Teemu Hartikainen,8474719,Teemu Hartikainen
7,Genève-Servette HC,,,,2022-05-26,Luleå HF,Genève-Servette HC,https://www.eliteprospects.com/player/4008/linus-omark,Linus Omark,8474059,Linus Omark
8,Genève-Servette HC,,,,2021-09-27,Dallas Stars,Genève-Servette HC,https://www.eliteprospects.com/player/16044/sami-vatanen,Sami Vatanen,8475222,Sami Vatanen
9,Genève-Servette HC,,,,2021-09-09,Lausanne HC,Genève-Servette HC,https://www.eliteprospects.com/player/76087/josh-jooris,Josh Jooris,8477591,Josh Jooris
10,Genève-Servette HC,,,,2021-08-24,Detroit Red Wings,Genève-Servette HC,https://www.eliteprospects.com/player/3197/valtteri-filppula,Valtteri Filppula,8470047,Valtteri Filppula
11,Genève-Servette HC,,,,2021-05-13,EHC Biel-Bienne,Genève-Servette HC,https://www.eliteprospects.com/player/8919/marc-antoine-pouliot,Marc-Antoine Pouliot,8470615,Marc-Antoine Pouliot
12,Genève-Servette HC,,,,2020-09-14,Lausanne HC,Genève-Servette HC,https://www.eliteprospects.com/player/34828/joel-vermin,Joël Vermin,8477326,Joel Vermin
13,Genève-Servette HC,,,,2020-06-10,Salavat Yulaev Ufa,Genève-Servette HC,https://www.eliteprospects.com/player/4008/linus-omark,Linus Omark,8474059,Linus Omark
14,Genève-Servette HC,,,,2020-02-13,Schwenninger Wild Wings,Genève-Servette HC,https://www.eliteprospects.com/player/32870/jordan-caron,Jordan Caron,8475150,Jordan Caron
15,Genève-Servette HC,,,,2019-07-20,Minnesota Wild,Genève-Servette HC,https://www.eliteprospects.com/player/10352/eric-fehr,Eric Fehr,8470611,Eric Fehr
16,Genève-Servette HC,,,,2018-10-06,Minnesota Wild,Genève-Servette HC,https://www.eliteprospects.com/player/11480/daniel-winnik,Daniel Winnik,8471476,Daniel Winnik
17,Genève-Servette HC,,,,2018-10-01,Dinamo Minsk,Genève-Servette HC,https://www.eliteprospects.com/player/9217/jack-skille,Jack Skille,8471681,Jack Skille
18,Genève-Servette HC,,,,2018-08-15,Chicago Blackhawks,Genève-Servette HC,https://www.eliteprospects.com/player/16499/lance-bouma,Lance Bouma,8474642,Lance Bouma
19,Genève-Servette HC,,,,2018-08-15,Boston Bruins,Genève-Servette HC,https://www.eliteprospects.com/player/19230/tommy-wingels,Tommy Wingels,8474739,Tommy Wingels
20,Genève-Servette HC,,,,2018-02-23,KooKoo,Genève-Servette HC,https://www.eliteprospects.com/player/16456/michael-keranen,Michael Keränen,8477923,Michael Keranen
21,Genève-Servette HC,,,,2017-10-14,CSKA Moskva,Genève-Servette HC,https://www.eliteprospects.com/player/14394/stephane-da-costa,Stéphane Da Costa,8476205,Stephane Da Costa
22,Genève-Servette HC,,,,2017-07-14,Syracuse Crunch,Genève-Servette HC,https://www.eliteprospects.com/player/41755/tanner-richard,Tanner Richard,8476911,Tanner Richard
23,Genève-Servette HC,,,,2017-02-01,Medvescak Zagreb,Genève-Servette HC,https://www.eliteprospects.com/player/12299/goran-bezina,Goran Bezina,8468107,Goran Bezina
24,Genève-Servette HC,,,,2016-10-14,New York Rangers,Genève-Servette HC,https://www.eliteprospects.com/player/9216/nathan-gerbe,Nathan Gerbe,8471804,Nathan Gerbe
25,Genève-Servette HC,,,,2016-08-10,San Jose Sharks,Genève-Servette HC,https://www.eliteprospects.com/player/12462/nick-spaling,Nick Spaling,8474096,Nick Spaling
26,Genève-Servette HC,,,,2016-07-29,Anaheim Ducks,Genève-Servette HC,https://www.eliteprospects.com/player/11417/mike-santorelli,Mike Santorelli,8471390,Mike Santorelli
