,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
1,Newmarket Hurricanes,,,
3,Soo Thunder U16 AAA,,,
5,Cleveland Monsters,,,
6,Burnaby Winter Club Prep,,,
8,Sun Valley Suns,,,
9,HC Mountfield,,,
11,HC Sierre,,,
12,Albany River Rats,,,
19,Valley West Hawks U18 AAA,,,
23,Las Vegas Wranglers,,,
24,EVR Tower Stars,,,
29,KH GKS Katowice,,,
37,HS Prizma/Pardaugava U18,,,
41,Salmon Arm Silverbacks,,,
45,BK Mladá Boleslav U20,,,
48,Herlev Hornets,,,
50,Youngstown Phantoms,,,
51,Romford Raiders,,,
53,Villanova Knights,,,
55,Viking Hockey,,,
57,Univ. of Western Ontario,,,
68,Mississippi RiverKings,,,
70,Charlottetown Islanders,,,
71,Edge School Elite 15s,,,
74,Victoria Royals,,,
76,San Jose Barracuda,,,
77,SK Horácká Slavia Třebíč,,,
82,Oklahoma City Barons,,,
84,Yorkton Harvest U18 AAA,,,
86,St. John's IceCaps,,,
87,Ontario Reign,,,
88,SERC Wild Wings,,,
89,Bemidji High,,,
92,Kootenay Ice,,,
95,Cloverdale Colts U15 A1,,,
98,Bílí Tygři Liberec,,,
99,Halifax Mooseheads,,,
103,Niagara Falls Rivermen U16 AAA,,,
105,Red Ice HC,,,
106,HC Kopřivnice,,,
107,Idaho Steelheads,,,
108,Niagara Falls Canucks U18 AAA,,,
112,Adirondack Phantoms,,,
113,Dubuque Fighting Saints,,,
118,HC Oceláři Třinec,,,
119,Kalamazoo Wings,,,
120,Portland Winterhawks,,,
121,Mount Royal Univ.,,,
122,Drummondville Voltigeurs,,,
124,KH Sanok,,,
125,Kootenay Ice U18 AAA,,,
126,Penn State Univ.,,,
129,Edmonton Oil Kings,,,
133,Iowa Wild,,,
134,Dynamo St. Petersburg,,,
136,Cowichan Valley Capitals U15 A1,,,
138,Rapid City Rush,,,
141,Frisk Asker,,,
142,HC Orlová,,,
143,Jacksonville Icemen,,,
145,Sudbury Wolves Minor Midget AAA,,,
146,Corpus Christi Ice Rays,,,
148,London Raiders,,,
154,HC Slovan Ústečtí Lvi,,,
155,Nanaimo Clippers U15 A1,,,
158,Albany Devils,,,
159,Janesville Jets,,,
161,Indy Fuel,,,
163,St-Gabriel-de-Brandon Prédateurs,,,
164,Huron Perth Lakers U16 AAA,,,
167,Mississauga Steelheads,,,
168,HC Řisuty,,,
169,Bridgeport Sound Tigers,,,
172,Greenville Road Warriors,,,
173,Grand Rapids Griffins,,,
176,HC Lugano,,,
179,Northern Alberta U15 Prep,,,
184,Bentley Generals,,,
185,Des Moines Buccaneers,,,
186,HC Ambrì-Piotta,,,
190,HC Benátky nad Jizerou,,,
191,Stony Brook Univ.,,,
192,Val-d'Or Foreurs,,,
200,Aalborg Pirates,,,
204,HC Znojemští Orli,,,
205,EHC Kloten,,,
207,GC Küsnacht Lions,,,
210,Adirondack Flames,,,
215,Okotoks Oilers,,,
218,Sioux Falls Stampede,,,
220,EC Dornbirn,,,
224,Stockton Thunder,,,
225,SCL Tigers,,,
228,Blue Devils Weiden,,,
231,Adirondack Thunder,,,
233,Orsa IK,,,
234,EHC Visp,,,
235,Utah Grizzlies,,,
236,Owen Sound Attack,,,
238,Oakville Rangers U18 AAA,,,
239,Lowell Devils,,,
245,Yunison-Moskva,,,
246,Peterborough Petes,,,
247,Belle Tire 18U AAA,,,
249,HYS The Hague,,,
252,Rockford IceHogs,,,
255,Texas Stars,,,
258,Quad City Flames,,,
