1992-1993,October 6 1992,June 9 1993
1993-1994,October 5 1993,June 14 1994
1994-1995,January 20 1995,June 24 1995
1995-1996,October 6 1995,June 10 1996
1996-1997,October 4 1996,June 7 1997
1997-1998,October 1 1997,June 16 1998
1998-1999,October 9 1998,June 19 1999
1999-2000,October 1 1999,June 10 2000
2000-2001,October 4 2000,June 9 2001
2001-2002,October 3 2001,June 13 2002
2002-2003,October 9 2002,June 9 2003
2003-2004,October 8 2003,June 7	2004
2004-2005,October 1 2004,June 15 2005,this is fake bc NHL had a lockout but I need the dates for other leagues' seasons
2005-2006,October 5 2005,June 19 2006
2006-2007,October 4 2006,June 6 2007
2007-2008,September 29 2007,June 4 2008
2008-2009,October 4 2008,June 12 2009
2009-2010,October 1 2009,June 9 2010
2010-2011,October 7 2010,June 15 2011
2011-2012,October 6 2011,June 11 2012
2012-2013,January 19 2013,June 24 2013
2013-2014,October 1 2013,June 13 2014
2014-2015,October 8 2014,June 15 2015
2015-2016,October 7 2015,June 12 2016
2016-2017,October 12 2016,June 11 2017
2017-2018,October 4 2017,June 7 2018
2018-2019,October 3 2018,June 12 2019
2019-2020,October 2 2019,September 28 2020
2020-2021,January 13 2021,July 7 2021
2021-2022,October 12 2021,June 26 2022
2022-2023,October 7 2022,June 30 2023,the end date is made up
2023-2024,October 1 2023,June 30 2024,these dates are made up
